Date,KPI_Total_Sales,KPI_Wholesale_Sales,KPI_Franchise_Sales,KPI_Retail_Sales,KPI_eCom_Sales,KPI_TotalSearch_queries,KPI_아디다스_adidas_Search_queries,KPI_adidas_Search_queries,KPI_아디다스온라인스토어_adidas_online store_Search_queries,Dummy_Winter_Olympics,Dummy_News_Event_Search_Yeezy_Boost_350_V2_Black,Dummy_News_Event_Search_Harden_Vol_4,Dummy_News_Event_Search_Harden_Stepback,Dummy_News_Event_Search_Ultra_Boost_20,Offline_TV_Total_GRPs,Offline_TV_Total_Spends,Offline_TV_Total_conv,Competition_Offline_Puma_TVGRPs,Competition_Offline_Nike_TVGRPs,Competition_Offline_Descente_TVGRPs,Competition_Offline_Reebok_TVGRPs,Competition_Offline_Under_Armour_TVGRPs,Competition_Offline_FILA_TVGRPs,Digital_Video_IPTV_Product_Impression,Digital_Video_IPTV_Total_Impression,Digital_Video_IPTV_Product_Spend,Digital_Video_IPTV_Total_Spend,Offline_OOH_Branding_Spends,Offline_OOH_Product_Spends,Offline_OOH_Total_Spends,Digital_Display_Impression,Digital_Search_Impression,Digital_Social_Impression,Digital_Video_Impression,Digital_Total_Impression,Digital_Video&IPTV_Impression,Digital_Display_Click,Digital_Search_Click,Digital_Social_Click,Digital_Video_Click,Digital_Total_Click,Digital_Display_Spend,Digital_Search_Spend,Digital_Social_Spend,Digital_Video_Spend,Digital_Total_Spend,Digital_Branding_Impression,Digital_Product_Impression,Digital_Promotion_Impression,Digital_Always_on_Impression,Digital_Branding_Click,Digital_Product_Click,Digital_Promotion_Click,Digital_Always on_Click,Digital_Branding_Spend,Digital_Product_Spend,Digital_Promotion_Spend,Digital_Always on_Spend,CRM_Kakao_Message_Total_Sent,CRM_Kakao_Message_Message_Open_#,CRM_Kakao_Message_Spending,CRM_Kakao_Message_Traffic_Conversion,CRM_Kakao_Message_Transactions,PR_Press_Release_#_of_Coverage,PR_Press_Release_Impression,PR_Media_Event_#_of_Coverage,PR_Media_Event_Spend,Consumer_Activation_Branding,Consumer_Activation_Product,Consumer_Activation_Total,Consumer Activation_Total_Spend,consumer_activation_branding_impr,consumer_activation_product_impr,consumer_activation_promo_impr,consumer_activation_always_on_impr,consumer_activation_branding_click,consumer_activation_product_click,consumer_activation_promo_click,consumer_activation_always_on_click,consumer_activation_branding_budget,consumer_activation_product_budget,consumer_activation_promo_budget,consumer_activation_always_on_budget,Influencer_All_Branding_#_of_Influencer,Influencer_All_Branding_Spend,Macro_#_of_Rainy_Days,Macro_Rainfall_mm,Macro_PM_10,Macro_PM_2.5,Macro_COVID_Shincheonji,Macro_COVID_Other,Macro_COVID_Seoul_night_club_issue,Macro_Covid_Ban_Period,Holiday_Lunar_New_Year,Holiday_Independent_Movement_Day,Holiday_Children_Day,Holiday_Buddha_Birthday,Holiday_Memorial_Day,Holiday_Local_Elections,Holiday_Independent_Day,Holiday_Chuseok,Holiday_National_Foundation_Day,Holiday_Hangul_Proclamation_Day,Holiday_Christmas_Day,Holiday_Pre_Christmas_Day,Holiday_New_Year,Holiday_National_Election_Day,Holiday_Labor_Day,Dummy_Adidas Low consumption period,Dummy_July,Dummy_Nov
12/30/2018,13152442794,1587585484,7984213295,2931592139,649051876.2,63,45,18,0,0,0,0,0,0,0,0,,0,0,0,26.9,0,0,0,0,0,0,0,0,0,64288429,32862447.05,3535300,1191742,101877918.1,1191742,222106,696521,47188,2165,967980,19535355.07,35817694.77,7003974.667,4430094.69,66787119.2,0,9953079,0,91924839.05,0,146874,0,821106,0,18959381.39,0,47827737.81,150166.2903,12084.51613,2252494.355,1926.612903,1363.548387,159,53212442,0,0,0,0,0,19053421,0,9953079,0,91924839,0,821106,0,146874,0,47827738,0,18959381,0,0,1,0.1,49.9,28.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01-06-2019,15207707736,2222619677,9520752472,2643723742,820611844.2,65,45,18,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,98483305,54179539.11,15389513,2192624,170244981.1,2192624,337952,907438,185232,5429,1436051,53977154.35,53308579.85,59276538.11,11412670.33,177974942.6,0,52128938,0,118116043.1,0,376346,0,1059705,0,110169665.9,0,67805276.73,210232.8065,16918.32258,3153492.097,2697.258065,1908.967742,3,1654919,0,0,0,0,0,24250681,0,52128938,0,118116043,0,1059705,0,376346,0,67805277,0,110169666,0,0,1.2,3.1,56.9,34.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/13/2019,15207707736,2222619677,9520752472,2643723742,820611844.2,61,37,24,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,102121510,64786707.1,11329421,2638513,180876151.1,2638513,398561,834364,197373,6370,1436668,65091280.76,56118871.03,48908934.22,15015452.65,185134538.7,0,63812134,0,117064017.1,0,463619,0,973049,0,115698628.6,0,69435910.08,210232.8065,16918.32258,3153492.097,2697.258065,1908.967742,0,0,0,0,0,0,0,24250681,0,63812134,0,117064017,0,973049,0,463619,0,69435910,0,115698629,0,0,1.2,0.7,81.5,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/20/2019,15207707736,2222619677,9520752472,2643723742,820611844.2,77,54,21,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,83498720,73590943.1,14058904,2824099,173972666.1,2824099,388833,968419,184871,6372,1548495,45781421.64,58482538.09,59036293.44,14406451.68,177706704.9,0,45967367,0,128005299.1,0,409407,0,1139088,0,101144107.1,0,76562597.75,210232.8065,16918.32258,3153492.097,2697.258065,1908.967742,23,7515000,0,0,0,0,0,24250681,0,45967367,0,128005299,0,1139088,0,409407,0,76562598,0,101144107,0,0,1,0.3,52.8,27.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/27/2019,15427886954,2378653516,9413794995,2904589509,730848933,53,30,22,1,0,0,0,0,0,0,0,,0,57.6,0,0,0,0,0,0,0,0,0,0,0,154746008,86766413.11,32394901,4767857,278675179.1,4767857,394555,903376,503098,12070,1813099,41124119.27,56439554.93,122396377.2,22242914.47,242202965.9,0,63921015,0,214754164.1,0,687254,0,1125845,0,164770427.3,0,77432538.58,211809.7189,17611.73041,3677025.783,3582.898618,2284.476959,65,20500000,0,0,0,0,0,24250681,0,63921015,0,214754164,0,1125845,0,687254,0,77432539,0,164770427,0,0,1,6.1,58.2,34.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-03-2019,15978335000,2768738114,9146401303,3556753928,506441655.3,56,41,15,0,0,0,0,0,0,0,0,,0,56,0,0,0,0,0,0,0,0,0,0,0,103625506,56135441.11,37462809,7748831,204972587.1,7748831,222449,1055466,669099,21493,1968507,31939411.12,56166439.88,128879505.3,34308268.47,251293624.8,0,61730977,24530815.03,118710795.1,0,731218,360279,877010,0,177895083,20795054.19,52603487.59,215752,19345.25,4985860,5797,3223.25,74,19900200,0,0,0,0,0,24250681,0,61730977,24530815,118710795,360279,877010,0,731218,20795054,52603488,0,177895083,0,0,1.1,16.4,59.4,25.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-10-2019,15978335000,2768738114,9146401303,3556753928,506441655.3,53,36,17,0,0,0,0,0,0,0,0,,0,10.4,0,0,0,0,0,0,0,0,0,0,0,100531721,53801959.03,30983603,8449430,193766713,8449430,206510,517797,368163,15459,1107929,39431296.82,54919913.83,107731952.7,35753907.9,237837071.2,0,75791852,78378388.03,39596473,0,436429,643791,27709,0,162073677.2,70925464.03,4837930,215752,19345.25,4985860,5797,3223.25,17,5780000,0,0,0,0,0,24250681,0,75791852,78378388,39596473,643791,27709,0,436429,70925464,4837930,0,162073677,0,0,1.6,1.9,47.5,29.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/17/2019,15978335000,2768738114,9146401303,3556753928,506441655.3,68,42,26,0,0,0,0,0,0,0,0,,0,2.3,0,0,0,0,0,0,0,0,0,0,0,103631422,52824167,27177456,9440342,193073387,9440342,204525,257828,198275,18687,679315,38948292.24,52859248.18,88311664.22,43917180.25,224036384.9,0,74533109,79867067,38673211,0,271730,378863,28722,0,151496084.4,67338993.22,5201307.273,215752,19345.25,4985860,5797,3223.25,51,17035000,0,0,0,0,0,24250681,0,74533109,79867067,38673211,378863,28722,0,271730,67338993,5201307,0,151496084,0,0,1.3,17.7,55.2,40.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/24/2019,15983844651,2790002251,9159015057,3556561199,478266143.3,71,50,21,0,0,0,0,0,0,6.34,92715287.02,6.84E-08,0,0.4,0,0,0,0,0,0,0,0,0,0,0,90453418,29435952,30891026,7654821,158435217,7654821,175659,226247,371839,22556,796301,28466708.19,52556601.7,103215692.7,41803212.76,226042215.3,0,59286050,57225119,41924048,0,423599,247726,124976,0,155339063,48241045.45,22462106.81,209827.2166,20064.48733,4848134.055,5964.004608,3241.160138,3,90000,0,0,0,0,0,24250681,0,59286050,57225119,41924048,247726,124976,0,423599,48241045,22462107,0,155339063,0,0,1.3,0.4,59.4,36.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-03-2019,15997618778,2843162595,9190549443,3556079376,407827363.3,79,52,25,2,0,0,0,0,0,20.86,172616862.8,1.21E-07,0,0.6,0,0,0,0,0,0,0,0,0,0,0,80558590,11215668,20224987,11649701,123648946,11649701,390185,176127,388660,50629,1005601,57561370.23,44110715.06,94083793.22,34665534.59,230421413.1,0,59927371,0,63721575,0,719151,0,286450,0,174339419.4,0,56081993.71,195015.2581,21862.58065,4503819.194,6381.516129,3285.935484,83,27624000,0,0,0,0,0,24250681,0,59927371,0,63721575,0,286450,0,719151,0,56081994,0,174339419,0,0,1.7,1.4,94,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
